spot_id,name,lat,lon,ncei_depth_m,google_depth_m,google_raw_elev,google_resolution_m,diff_m,pct_diff
sicily-ustica-west,Ustica - West,38.7217,13.1683,78.0,0,0,610.81,78.0,200.0
sardinia-costa-smeralda,Costa Smeralda,41.068021,9.536963,9.0,0,0,152.7,9.0,200.0
sardinia-orosei-gulf,Gulf of Orosei,40.1667,9.6833,101.0,85.45,-85.45,610.81,15.55,16.7
sardinia-carloforte,Carloforte (San Pietro),39.160189,8.313141,3.0,0,0,152.7,3.0,200.0
sicily-ustica-north,Ustica - North,38.7367,13.1833,305.0,15.44,-15.44,610.81,289.56,180.7
sicily-ustica-south,Ustica - South,38.6867,13.1833,170.0,0,0,610.81,170.0,200.0
sicily-ustica-east,Ustica - East,38.7217,13.1983,188.0,0,0,610.81,188.0,200.0
sicily-aeolian-islands,Aeolian Islands,38.5667,14.95,723.0,698.39,-698.39,610.81,24.61,3.5
italy-elba-south,Elba Island - South,42.7317,10.2667,17.0,0.51,-0.51,152.7,16.49,188.4
sicily-capo-passero,Capo Passero,36.678198,15.139662,3.0,0,0,610.81,3.0,200.0
italy-portofino,Portofino MPA,44.3,9.2117,85.0,0,0,9.54,85.0,200.0
italy-elba-east,Elba Island - East,42.7667,10.4217,51.0,0,0,610.81,51.0,200.0
italy-elba-west,Elba Island - West,42.7667,10.0617,94.0,88.97,-88.97,610.81,5.03,5.5
italy-ponza-south,Ponza - South,40.885,12.9667,18.0,0,0,610.81,18.0,200.0
italy-ponza-west,Ponza - West,40.9,12.9317,30.0,7.14,-7.14,610.81,22.86,123.1
corsica-lavezzi,Lavezzi Islands,41.3333,9.25,38.0,0,0,610.81,38.0,200.0
france-hyeres,Hyeres Islands,43.0167,6.2167,18.0,0,0,9.54,18.0,200.0
spain-tossa-de-mar,Tossa de Mar,41.7117,2.9333,20.0,0,0,19.09,20.0,200.0
spain-formentera,Formentera,38.678395,1.45,10.0,0,0,19.09,10.0,200.0
cali-la-jolla-kelp-offshore,La Jolla Kelp (Offshore),32.8217,-117.2883,18.6,16.52,-16.52,76.35,2.08,11.8
cali-osborne-bank,Osborne Bank,33.36,-119.04,58.55,65.6,-65.6,152.7,-7.05,-11.4
cali-mackerel-bank,Mackerel Bank,33.0405,-118.5419,803.45,927.68,-927.68,152.7,-124.23,-14.4
cali-hermosa-artificial-reef,Hermosa Beach Artificial Reef,33.8537,-118.4133,17.37,16.83,-16.83,76.35,0.54,3.2
cali-torrey-pines-reef,Torrey Pines Artificial Reef,32.893,-117.2639,14.23,17.31,-17.31,76.35,-3.09,-19.6
sardinia-neptune-grotto,Neptune's Grotto Area,40.565,8.155,33.0,0,0,152.7,33.0,200.0
spain-lanzarote-papagayo,Papagayo (Lanzarote),28.85,-13.8,6.0,-0.72,0.72,610.81,6.72,254.6
aus-ningaloo-exmouth,Exmouth (Ningaloo),-21.9333,114.144957,3.0,1.25,-1.25,610.81,1.75,82.1
phil-tubbataha-north,Tubbataha Reef - North,8.9483,119.9,812.0,842.64,-842.64,610.81,-30.64,-3.7
greece-mykonos,Mykonos,37.449997,25.322786,13.0,-1.62,1.62,9.54,14.62,257.0
phil-tubbataha-south,Tubbataha Reef - South,8.9183,119.9,472.0,535.25,-535.25,610.81,-63.25,-12.6
fiji-kadavu-astrolabe-east,Astrolabe Reef - East,-19.05,178.265,8.0,13.87,-13.87,610.81,-5.87,-53.7
phil-tubbataha-east,Tubbataha Reef - East,8.9333,119.915,463.0,534.24,-534.24,610.81,-71.24,-14.3
phil-tubbataha-west,Tubbataha Reef - West,8.9333,119.885,768.0,810.91,-810.91,610.81,-42.91,-5.4
phil-apo-reef,Apo Reef,12.65,120.45,27.0,20.04,-20.04,610.81,6.96,29.6
phil-balicasag-north,Balicasag - North,9.5317,123.6783,577.0,90.03,-90.03,610.81,486.97,146.0
phil-balicasag-south,Balicasag - South,9.5017,123.6783,506.0,75.09,-75.09,610.81,430.91,148.3
phil-balicasag-east,Balicasag - East,9.5167,123.6933,303.0,3.21,-3.21,610.81,299.79,195.8
phil-balicasag-west,Balicasag - West,9.5167,123.6633,744.0,304.11,-304.11,610.81,439.89,83.9
fiji-kadavu-astrolabe-north,Astrolabe Reef - North,-19.035,178.25,23.0,0,0,610.81,23.0,200.0
fiji-kadavu-astrolabe-south,Astrolabe Reef - South,-19.065,178.25,10.0,19.48,-19.48,610.81,-9.48,-64.3
aus-montague-island-south,Montague Island - South,-36.265,150.2333,6.0,0,0,610.81,6.0,200.0
fiji-taveuni-rainbow-south,Taveuni Rainbow - South,-16.915,179.9,203.0,63.83,-63.83,610.81,139.17,104.3
maldives-fish-head,Fish Head,3.9,72.9167,27.0,4.44,-4.44,610.81,22.56,143.5
egypt-jackson-reef,Jackson Reef,27.95,34.4667,1395.0,1443.61,-1443.61,610.81,-48.61,-3.4
sa-cape-town-simons,Simon's Town,-34.1833,18.4333,8.0,0,0,610.81,8.0,200.0
nz-goat-island-east,Goat Island - East,-36.2667,174.815,24.0,0,0,610.81,24.0,200.0
nz-goat-island-north,Goat Island - North,-36.2517,174.8,32.0,5.41,-5.41,610.81,26.59,142.2
nz-bay-of-islands,Bay of Islands,-35.25,174.1,12.0,1.44,-1.44,19.09,10.56,157.2
belize-glovers-reef,Glover's Reef,16.75,-87.8,38.0,17.3,-17.3,610.81,20.7,74.9
belize-turneffe-elbow,The Elbow (Turneffe),17.1833,-87.8,702.0,371.15,-371.15,610.81,330.85,61.7
pr-desecheo,Desecheo Island,18.3833,-67.4883,39.4,-0.34,0.34,76.35,39.74,203.5
sa-aliwal-shoal,Aliwal Shoal,-30.2667,30.8333,33.0,24.4,-24.4,610.81,8.6,30.0
sa-protea-banks,Protea Banks,-30.7,30.55,51.0,51.87,-51.87,610.81,-0.87,-1.7
nz-goat-island-south,Goat Island - South,-36.3117,174.8,4.0,0,0,19.09,4.0,200.0
nz-great-barrier-south,Great Barrier - South,-36.275,175.4,39.0,0.13,-0.13,610.81,38.87,198.7
nz-great-barrier-west,Great Barrier - West,-36.2,175.345,39.0,0,0,19.09,39.0,200.0
nz-fiordland,Fiordland,-45.435153,167.123698,56.0,0,0,19.09,56.0,200.0
nz-great-barrier-east,Great Barrier - East,-36.2,175.495,25.0,0.62,-0.62,610.81,24.38,190.3
